imdbID,Title,Year,Cast,Meter,Metacritic,AdjBoxOffice,LeadActor,Gender
tt0286106,Signs,2002,"Mel Gibson, Joaquin Phoenix, Rory Culkin, Abigail Breslin",74,59,301439984,Mel Gibson,m
tt1324999,The Twilight Saga: Breaking Dawn - Part 1,2011,"Taylor Lautner, Gil Birmingham, Billy Burke, Sarah Clarke",24,45,297538442,Taylor Lautner,m
tt0770828,Man of Steel,2013,"Henry Cavill, Amy Adams, Michael Shannon, Diane Lane",56,55,297174931,Henry Cavill,m
tt0477347,Night at the Museum,2006,"Ben Stiller, Carla Gugino, Dick Van Dyke, Mickey Rooney",44,48,296028820,Ben Stiller,m
tt0480249,I Am Legend,2007,"Will Smith, Alice Braga, Charlie Tahan, Salli Richardson-Whitfield",70,65,294078994,Will Smith,m
tt0317219,Cars,2006,"Owen Wilson, Paul Newman, Bonnie Hunt, Larry the Cable Guy",74,73,288120554,Owen Wilson,m
tt0796366,Star Trek,2009,"Chris Pine, Zachary Quinto, Leonard Nimoy, Eric Bana",95,82,285734994,Chris Pine,m
tt0407304,War of the Worlds,2005,"Tom Cruise, Dakota Fanning, Miranda Otto, Justin Chatwin",74,73,285220358,Tom Cruise,m
tt0878804,The Blind Side,2009,"Sandra Bullock, Tim McGraw, Quinton Aaron, Jae Head",66,53,283295658,Sandra Bullock,f
tt0295178,Austin Powers in Goldmember,2002,"Mike Myers, Beyoncé Knowles, Seth Green, Michael York",54,62,281864242,Mike Myers,m
tt1454468,Gravity,2013,"Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen",97,96,279916318,Sandra Bullock,f
tt0290334,X-Men 2,2003,"Patrick Stewart, Hugh Jackman, Ian McKellen, Halle Berry",86,68,277730563,Patrick Stewart,m
tt0376994,X-Men: The Last Stand,2006,"Hugh Jackman, Halle Berry, Ian McKellen, Patrick Stewart",58,58,276435206,Hugh Jackman,m
tt1323594,Despicable Me,2010,"Steve Carell, Jason Segel, Russell Brand, Julie Andrews",81,72,274370241,Steve Carell,m
tt1453405,Monsters University,2013,"Billy Crystal, John Goodman, Steve Buscemi, Helen Mirren",78,65,274197488,Billy Crystal,m
tt0948470,The Amazing Spider-Man,2012,"Andrew Garfield, Emma Stone, Rhys Ifans, Denis Leary",73,66,271483577,Andrew Garfield,m
tt0209163,The Mummy Returns,2001,"Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo",47,48,269698855,Brendan Fraser,m
tt1411697,The Hangover Part II,2011,"Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha",34,44,269191374,Bradley Cooper,m
tt0213149,Pearl Harbor,2001,"Ben Affleck, Josh Hartnett, Kate Beckinsale, William Lee Scott",25,44,265801861,Ben Affleck,m
tt0360717,King Kong,2005,"Naomi Watts, Jack Black, Adrien Brody, Thomas Kretschmann",84,81,265726442,Naomi Watts,f
tt1170358,The Hobbit: The Desolation of Smaug,2013,"Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott",74,66,263883169,Ian McKellen,m
tt1843866,Captain America: The Winter Soldier,2014,"Chris Evans, Samuel L. Jackson, Scarlett Johansson, Robert Redford",89,70,261008110,Chris Evans,m
tt0440963,The Bourne Ultimatum,2007,"Matt Damon, Julia Stiles, David Strathairn, Scott Glenn",93,85,260919092,Matt Damon,m
tt0892791,Shrek Forever After,2010,"Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas",58,58,259969894,Mike Myers,m
tt1490017,The Lego Movie,2014,"Will Arnett, Elizabeth Banks, Craig Berry, Alison Brie",96,83,259098540,Will Arnett,m
tt0172495,Gladiator,2000,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed",76,64,258781286,Russell Crowe,m
tt0382625,The Da Vinci Code,2006,"Tom Hanks, Audrey Tautou, Ian McKellen, Jean Reno",25,46,256723558,Tom Hanks,m
tt1298650,Pirates of the Caribbean: On Stranger Tides,2011,"Johnny Depp, Penélope Cruz, Geoffrey Rush, Ian McShane",33,45,255017840,Johnny Depp,m
tt0396269,Wedding Crashers,2005,"Owen Wilson, Vince Vaughn, Christopher Walken, Rachel McAdams",75,64,254882951,Owen Wilson,m
tt0465234,National Treasure: Book of Secrets,2007,"Nicolas Cage, Justin Bartha, Diane Kruger, Jon Voight",35,48,252313581,Nicolas Cage,m
tt0448157,Hancock,2008,"Will Smith, Charlize Theron, Jason Bateman, Jae Head",41,49,251883553,Will Smith,m
tt0120912,Men in Black II,2002,"Tommy Lee Jones, Will Smith, Rip Torn, Lara Flynn Boyle",39,49,251839285,Tommy Lee Jones,m
tt0367594,Charlie and the Chocolate Factory,2005,"Johnny Depp, Freddie Highmore, David Kelly, Helena Bonham Carter",83,72,251471516,Johnny Depp,m
tt0207201,What Women Want,2000,"Mel Gibson, Helen Hunt, Marisa Tomei, Alan Alda",54,47,250767771,Mel Gibson,m
tt0372784,Batman Begins,2005,"Christian Bale, Michael Caine, Liam Neeson, Katie Holmes",85,70,250009472,Christian Bale,m
tt0952640,Alvin and the Chipmunks,2007,"Jason Lee, David Cross, Cameron Richardson, Jane Lynch",27,39,249215597,Jason Lee,m
tt0416449,300,2006,"Gerard Butler, Lena Headey, Dominic West, David Wenham",60,51,248579224,Gerard Butler,m
tt0910970,WALL·E,2008,"Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard",96,94,247241556,Ben Burtt,m
tt2109248,Transformers: Age of Extinction,2014,"Mark Wahlberg, Stanley Tucci, Kelsey Grammer, Nicola Peltz",18,32,246636081,Mark Wahlberg,m
tt0240772,Ocean's Eleven,2001,"George Clooney, Cecelia Ann Birt, Paul L. Nolan, Carol Florence",82,74,246316892,George Clooney,m
tt1217209,Brave,2012,"Kelly Macdonald, Billy Connolly, Emma Thompson, Julie Walters",78,69,245889515,Kelly Macdonald,f
tt1905041,Fast & Furious 6,2013,"Vin Diesel, Paul Walker, Dwayne Johnson, Jordana Brewster",69,61,243765141,Vin Diesel,m
tt1231580,Alvin and the Chipmunks: The Squeakquel,2009,"Zachary Levi, David Cross, Jason Lee, Justin Long",21,41,243157486,Zachary Levi,m
tt1587310,Maleficent,2014,"Angelina Jolie, Elle Fanning, Sharlto Copley, Lesley Manville",49,56,242615933,Angelina Jolie,f
tt0163025,Jurassic Park III,2001,"Sam Neill, William H. Macy, Téa Leoni, Alessandro Nivola",50,42,242016760,Sam Neill,m
tt1623205,Oz the Great and Powerful,2013,"James Franco, Mila Kunis, Rachel Weisz, Michelle Williams",59,44,239884506,James Franco,m
tt0133152,Planet of the Apes,2001,"Mark Wahlberg, Tim Roth, Helena Bonham Carter, Michael Clarke Duncan",45,50,239329178,Mark Wahlberg,m
tt0441773,Kung Fu Panda,2008,"Jack Black, Dustin Hoffman, Angelina Jolie, Ian McShane",87,73,238068088,Jack Black,m
tt0892769,How to Train Your Dragon,2010,"Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera",98,74,237169345,Jay Baruchel,m
tt0382932,Ratatouille,2007,"Patton Oswalt, Ian Holm, Lou Romano, Brian Dennehy",96,96,236823661,Patton Oswalt,m
tt0348150,Superman Returns,2006,"Brandon Routh, Kate Bosworth, Kevin Spacey, James Marsden",76,72,236067639,Brandon Routh,m
tt0351283,Madagascar,2005,"Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith",55,57,235267198,Ben Stiller,m
tt0319262,The Day After Tomorrow,2004,"Dennis Quaid, Jake Gyllenhaal, Emmy Rossum, Dash Mihok",45,47,234999935,Dennis Quaid,m
tt1408101,Star Trek Into Darkness,2013,"Chris Pine, Zachary Quinto, Zoe Saldana, Karl Urban",87,72,233655066,Chris Pine,m
tt0366548,Happy Feet,2006,"Carlos Alazraqui, Lombardo Boyar, Jeffrey Garcia, Johnny A. Sanchez",75,77,233588929,Carlos Alazraqui,m
tt0268380,Ice Age,2002,"Ray Romano, John Leguizamo, Denis Leary, Goran Visnjic",77,60,233057153,Ray Romano,m
tt0988045,Sherlock Holmes,2009,"Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong",70,57,231404320,Robert Downey Jr.,m
tt0438097,Ice Age: The Meltdown,2006,"Ray Romano, John Leguizamo, Denis Leary, Seann William Scott",57,58,230520050,Ray Romano,m
tt0268978,A Beautiful Mind,2001,"Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer",75,72,229385125,Russell Crowe,m
tt0212338,Meet the Parents,2000,"Robert De Niro, Ben Stiller, Teri Polo, Blythe Danner",84,73,227279880,Robert De Niro,m
tt0356910,Mr. & Mrs. Smith,2005,"Brad Pitt, Angelina Jolie, Vince Vaughn, Adam Brody",59,55,226738610,Brad Pitt,m
tt1637725,Ted,2012,"Mark Wahlberg, Mila Kunis, Seth MacFarlane, Joel McHale",67,62,226512633,Mark Wahlberg,m
tt1277953,Madagascar 3: Europe's Most Wanted,2012,"Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith",79,60,224233000,Ben Stiller,m
tt0319343,Elf,2003,"Will Ferrell, James Caan, Bob Newhart, Edward Asner",84,64,224201488,Will Ferrell,m
tt2245084,Big Hero 6,2014,"Scott Adsit, Ryan Potter, Daniel Henney, T.J. Miller",89,74,223620733,Scott Adsit,m
tt1596343,Fast Five,2011,"Vin Diesel, Paul Walker, Jordana Brewster, Tyrese Gibson",78,67,221911003,Vin Diesel,m
tt0372183,The Bourne Supremacy,2004,"Matt Damon, Franka Potente, Brian Cox, Julia Stiles",81,73,221650528,Matt Damon,m
tt1482459,The Lorax,2012,"Danny DeVito, Ed Helms, Zac Efron, Taylor Swift",54,46,221642508,Danny DeVito,m
tt1229238,Mission: Impossible - Ghost Protocol,2011,"Tom Cruise, Paula Patton, Simon Pegg, Jeremy Renner",93,73,221487912,Tom Cruise,m
tt0212985,Hannibal,2001,"Anthony Hopkins, Julianne Moore, Gary Oldman, Ray Liotta",39,57,220247346,Anthony Hopkins,m
tt0892782,Monsters vs. Aliens,2009,"Reese Witherspoon, Seth Rogen, Hugh Laurie, Will Arnett",72,56,219872912,Reese Witherspoon,f
tt0398286,Tangled,2010,"Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman",90,71,219059819,Mandy Moore,f
tt0368891,National Treasure,2004,"Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean",44,39,217872394,Nicolas Cage,m
tt0264464,Catch Me If You Can,2002,"Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen",96,76,217449467,Leonardo DiCaprio,m
tt0386588,Hitch,2005,"Will Smith, Eva Mendes, Kevin James, Amber Valletta",69,58,216382467,Will Smith,m
tt0120903,X-Men,2000,"Hugh Jackman, Patrick Stewart, Ian McKellen, Famke Janssen",81,64,215812263,Hugh Jackman,m
tt0161081,What Lies Beneath,2000,"Michelle Pfeiffer, Katharine Towne, Miranda Otto, James Remar",46,51,214154295,Michelle Pfeiffer,f
tt1099212,Twilight,2008,"Kristen Stewart, Sarah Clarke, Matt Bushell, Billy Burke",48,56,211542396,Kristen Stewart,f
tt1981115,Thor: The Dark World,2013,"Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins",66,54,210779745,Chris Hemsworth,m
tt0462538,The Simpsons Movie,2007,"Dan Castellaneta, Julie Kavner, Nancy Cartwright, Yeardley Smith",89,80,209974467,Dan Castellaneta,m
tt0816711,World War Z,2013,"Brad Pitt, Mireille Enos, Daniella Kertesz, James Badge Dale",67,63,206694866,Brad Pitt,m
tt1872181,The Amazing Spider-Man 2,2014,"Andrew Garfield, Emma Stone, Jamie Foxx, Dane DeHaan",53,53,203922008,Andrew Garfield,m
tt0267913,Scooby-Doo,2002,"Freddie Prinze Jr., Sarah Michelle Gellar, Matthew Lillard, Linda Cardellini",30,35,202635391,Freddie Prinze Jr.,m
tt1216475,Cars 2,2011,"Larry the Cable Guy, Owen Wilson, Michael Caine, Emily Mortimer",39,57,202554609,Larry the Cable Guy,m
tt0307453,Shark Tale,2004,"Will Smith, Robert De Niro, Renée Zellweger, Jack Black",35,48,202507983,Will Smith,m
tt1661199,Cinderella,2015,"Cate Blanchett, Lily James, Richard Madden, Helena Bonham Carter",84,67,201873727,Cate Blanchett,f
